mLottoLand,mLottoType,mMaxNumber,mGridHeight,mGridWidth,mNumbers,mSuperMin,mSuperMax,mNumberSuper
DE,Lotto,49,7,7,6,0,9,1
DE,EuroJackpot,50,5,10,5,1,8,2
AT,Lotto,45,5,9,6,1,45,0
AT,EuroMilion,50,5,10,5,1,11,2
AT,Zahlenlotto,90,9,10,5,1,10,0
CH,Lotto,42,6,7,6,1,6,1
CH,EuroMilion,50,5,10,5,1,11,2
AU,Lotto,45,5,9,6,1,45,0
AU,OZLotto,45,5,9,7,1,45,0
AU,PowerBall,40,5,8,6,1,20,1
UK,EuroMilion,50,5,10,5,1,11,2
UK,Lotto,49,7,7,6,1,10,0
USA,MegaMillions,75,5,15,5,1,15,1
USA,PowerBall,59,6,10,5,1,35,1
FR,Lotto,49,7,7,5,1,10,1
CA,Lotto,49,7,7,6,1,10,0
IRL,Lotto,45,5,9,6,1,10,0
IT,SuperEnaLotto,90,9,10,6,1,10,0
ESP,LaPrimitiva,49,7,7,6,1,10,0
SK,Lotto,35,5,7,7,1,10,0
NZ,PowerBall,40,5,8,6,1,10,1
BR,Mega-Sena,60,6,10,6,1,10,0
BG,6/49,49,7,7,6,1,10,0
BG,5/35,35,5,7,5,1,10,0
